NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	
N16	0.032043	0.135728	0.228982	0.24795	0.153158	0.119529	0.0398717	0.032689	0.00595074	0.00313939	0.000468011	0.000443673	3.85373e-05	8.54805e-06	3.64147e-07	2.6594e-07	1.21502e-08	2.15853e-09	4.09749e-10	2.25142e-10	1.54088e-11	4.41895e-13	7.12517e-15	7.1006e-17	4.90346e-19	2.49298e-21	1.33124e-23	6.54811e-26	1.81398e-28	4.80007e-31	1.47657e-33	1.16821e-35	8.28887e-39	1.61887e-41	1.50625e-44	6.71154e-47	3.23312e-49	4.35471e-51	3.60576e-53	4.79098e-56	2.81238e-59	1.25342e-62	3.21152e-66	1.07079e-69	1.79209e-73	7.69912e-77	1.00145e-80	4.10618e-84	3.91468e-88	1.88406e-91	1.58698e-95	5.27228e-99	3.56778e-103	2.23218e-106	7.04822e-110	2.29481e-112	9.61154e-115	
N17	0.00678316	0.0465473	0.130113	0.210649	0.190715	0.208503	0.109901	0.0730311	0.0146955	0.00615394	0.00140596	0.00118931	0.000227211	7.90871e-05	4.35986e-06	1.55779e-06	3.16755e-08	2.64714e-09	9.49799e-11	1.03296e-11	2.31354e-13	2.28534e-15	1.12823e-17	3.34461e-20	5.85719e-23	7.53573e-26	7.90529e-29	9.64442e-32	7.88258e-35	6.52679e-38	5.40336e-41	1.13906e-43	2.80839e-47	2.42068e-50	8.67349e-54	2.16438e-56	4.88801e-60	2.12918e-62	8.98698e-65	8.94966e-68	3.28341e-71	1.33717e-74	2.18824e-78	7.50503e-82	7.18366e-86	2.96903e-89	2.15171e-92	1.13071e-92	7.40631e-94	1.31263e-94	4.11776e-97	3.84912e-99	4.1513e-102	3.21265e-104	3.02594e-107	5.74686e-109	4.25648e-110	
N18	0.00125758	0.01298	0.0576078	0.142963	0.166196	0.229143	0.19337	0.145265	0.0346164	0.011165	0.00255456	0.00214107	0.000537251	0.000187536	1.36043e-05	2.34377e-06	5.10325e-08	2.00504e-09	1.60607e-11	5.25915e-13	2.7585e-15	1.38718e-17	2.85828e-20	6.30726e-23	4.62745e-26	4.16134e-29	1.69427e-32	1.51809e-35	3.35787e-39	1.58226e-42	3.57705e-46	2.6594e-49	2.41557e-53	6.44722e-57	5.77047e-61	2.65189e-64	1.23585e-68	5.35879e-72	5.89431e-75	1.88915e-78	2.76713e-82	3.12902e-86	2.17988e-90	1.46438e-94	5.9608e-99	3.26524e-103	9.90997e-108	6.77037e-112	1.72545e-116	5.53201e-65	3.61923e-66	4.23794e-67	1.07322e-68	8.79326e-70	1.7026e-71	2.83146e-72	1.70776e-72	
N19	0.000715196	0.00779311	0.0389583	0.109639	0.145171	0.214214	0.215423	0.187009	0.0493887	0.0179183	0.00374241	0.00616503	0.00122314	0.00226053	0.00012237	0.000249971	4.67615e-06	2.85581e-06	2.13178e-08	1.15212e-08	2.90601e-10	9.43515e-12	1.2171e-13	9.99852e-16	4.11348e-18	1.10839e-20	2.3943e-23	4.34578e-26	4.49625e-29	3.44171e-32	4.6625e-35	1.25367e-37	3.11038e-41	1.2796e-44	1.43186e-47	5.0713e-50	6.55927e-54	2.51893e-56	1.40654e-57	4.76365e-60	8.49932e-63	1.03607e-65	7.6659e-69	4.84857e-72	1.86122e-75	8.06329e-79	1.76799e-82	7.55973e-86	1.01597e-89	6.3465e-93	4.46281e-97	3.78685e-100	1.31173e-104	2.3602e-107	6.07617e-112	1.30111e-114	1.19396e-116	
N20	4.57168e-05	0.000126846	0.000332503	0.000715937	0.000833102	0.00169589	0.00900375	0.0347771	0.0519897	0.0150195	0.000943059	0.000337666	0.000875986	0.00545782	0.0205935	0.0891698	0.172447	0.330755	0.191507	0.0684164	0.00464555	0.000302316	8.28324e-06	3.0347e-07	4.39461e-09	7.56171e-11	1.54294e-12	3.34545e-13	5.39637e-14	1.08535e-14	1.19013e-15	2.07133e-16	1.55277e-17	1.70236e-18	8.89083e-20	8.58312e-21	2.84255e-22	1.42126e-23	2.93116e-25	1.11923e-26	1.35214e-28	2.00733e-30	1.47546e-32	1.10322e-34	4.19916e-37	1.49549e-39	1.21224e-41	1.34207e-42	9.01168e-44	4.49224e-45	8.43467e-47	1.50751e-48	1.08461e-50	9.74157e-53	4.83338e-55	6.95618e-57	3.01473e-58	
N21	3.06277e-07	6.43202e-09	6.27611e-11	1.6508e-10	1.92344e-09	1.82422e-11	2.33208e-09	4.77597e-07	4.44107e-05	2.93176e-05	3.6025e-08	1.94557e-11	6.15181e-12	8.97891e-10	1.15362e-07	1.67222e-05	0.00150748	0.0751387	0.875368	0.04769	0.000204565	3.19538e-07	1.9966e-10	7.19573e-14	1.32728e-17	2.09999e-21	2.51427e-24	1.74252e-25	8.15741e-27	5.45004e-28	1.93884e-29	1.07326e-30	2.89068e-32	1.12217e-33	2.20213e-35	4.91061e-37	5.08987e-39	4.10673e-41	1.16292e-43	5.18127e-47	8.34072e-51	9.33e-55	5.3865e-59	2.74424e-63	7.67445e-68	2.37846e-72	4.24578e-77	1.09605e-81	1.50555e-86	5.09358e-38	4.74182e-40	6.97819e-42	6.85148e-44	1.49465e-45	4.55764e-47	3.2673e-48	1.86243e-48	
Schoenoplectus_pungens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N22	1.12606e-09	1.23689e-11	8.2377e-14	3.50249e-13	4.0173e-12	2.60354e-14	5.58553e-12	5.27201e-09	1.502e-06	1.49577e-06	4.21974e-10	4.88821e-14	1.86811e-15	7.81672e-13	7.95137e-10	6.81214e-07	0.00028252	0.0428718	0.915262	0.0414718	0.00010837	3.02944e-08	2.47314e-12	8.71856e-17	1.52151e-21	4.52559e-26	1.49235e-29	1.17333e-32	1.64916e-36	8.21675e-41	3.08038e-45	2.71894e-48	5.07736e-52	2.03757e-55	4.16966e-59	8.29557e-63	8.1049e-67	5.58847e-71	1.41636e-75	8.32278e-81	2.18867e-86	3.53836e-92	3.67787e-98	4.11235e-104	2.37455e-110	1.17371e-115	7.07642e-121	8.944e-126	1.28896e-131	6.46466e-86	2.00749e-88	5.23633e-90	2.59959e-91	8.7736e-93	3.21211e-94	1.7815e-95	6.17371e-96	
Schoenoplectus_acutus_var_acutus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N23	1.19323e-11	4.73928e-13	2.93895e-15	2.61062e-15	1.48858e-14	2.80201e-16	1.45928e-13	2.86833e-10	1.47103e-07	1.26676e-07	2.08586e-10	2.79946e-14	1.85354e-16	3.03527e-15	1.384e-11	3.81976e-08	4.5618e-05	0.017063	0.876258	0.105093	0.00153943	5.71544e-07	5.89809e-11	2.55437e-15	5.64387e-20	1.03427e-24	1.47612e-27	4.31956e-30	4.96256e-34	8.12949e-38	5.86608e-42	3.14896e-44	1.43927e-48	5.0498e-51	1.19212e-55	2.66171e-58	3.50707e-63	2.92531e-66	1.16059e-71	6.80484e-76	1.55294e-81	4.94691e-86	7.11084e-92	1.68225e-96	1.59203e-102	3.24053e-107	3.58288e-112	3.86597e-117	8.74332e-123	1.34261e-128	3.34407e-133	3.69517e-138	1.46168e-141	7.68008e-146	1.69781e-149	1.80881e-153	1.2407e-157	
