Accepted;resolved_name
Ficinia_indica;Ficinia indica
Ficinia_nodosa;Ficinia nodosa
Isolepis_montivaga;Isolepis montivaga
Isolepis_varians;Isolepis varians
Isolepis_digitata;Isolepis digitata
Isolepis_prolifera;Isolepis prolifera
Isolepis_diabolica;Isolepis diabolica
Isolepis_costata;Isolepis costata
Isolepis_setacea;Isolepis setacea
Isolepis_keniaensis;Isolepis keniaensis
Scirpoides_burkei;Scirpoides burkei
Scirpoides_holoschoenus;Scirpoides holoschoenus
Cyperus_fuscus;Cyperus fuscus
Cyperus_dichrostachyus;Cyperus dichrostachyus
Cyperus_eragrostis;Cyperus eragrostis
Cyperus_houghtonii_464;Cyperus houghtonii
Cyperus_schweinitzii_470;Cyperus schweinitzii
Cyperus_lupulinus_ssp_lupulinus_455;Cyperus lupulinus subsp lupulinus
Pycreus_mundtii;Pycreus mundtii
Lipocarpha_micrantha_567;Lipocarpha micrantha
Lipocarpha_nana;Lipocarpha nana
Lipocarpha_aristulata_C12;Lipocarpha aristulata
Lipocarpha_microcephala;Lipocarpha microcephala
Volkiella_disticha;Volkiella disticha
Ascolepis_capensis;Ascolepis capensis
Ascolepis_brasiliensis;Ascolepis brasiliensis
Alinula_lipocarphioides;Alinula lipocarphioides
Cyperus_erinaceus;Cyperus erinaceus
Cyperus_ustulatus;Cyperus ustulatus
Cyperus_kersteinii;Cyperus kersteinii
Pycreus_nuerensis;Pycreus nuerensis
Kyllinga_brevifolia;Kyllinga brevifolia
Kyllinga_flava;Kyllinga flava
Kyllinga_bulbosa;Kyllinga bulbosa
Cyperus_strigosus_476;Cyperus strigosus
Cyperus_nipponicus;Cyperus nipponicus
Cyperus_rigidifolius;Cyperus rigidifolius
Cyperus_papyrus;Cyperus papyrus
Cyperus_longus;Cyperus longus
Cyperus_pulchellus;Cyperus pulchellus
Cyperus_spiralis;Cyperus spiralis
Cyperus_involucratus;Cyperus involucratus
Cyperus_alternifolius;Cyperus alternifolius
Oxycaryum_cubense;Oxycaryum cubense
Cyperus_bipartitus_446;Cyperus bipartitus
Alinula_paradoxa;Alinula paradoxa
Schoenoplectus_junceus;Schoenoplectus junceus
Schoenoplectus_hallii_592;Schoenoplectus hallii
Schoenoplectus_articulatus;Schoenoplectus articulatus
Schoenoplectus_smithii_var_smithii_605;Schoenoplectus smithii var smithii
Schoenoplectiella_hotarui;Schoenoplectiella hotarui
Schoenoplectus_purshianus_var_purshianus_601;Schoenoplectus purshianus var purshianus
Fuirena_welwitschii;Fuirena welwitschii
Fuirena_ciliaris;Fuirena ciliaris
Fuirena_abnormalis;Fuirena abnormalis
Bolboschoenus_caldwellii;Bolboschoenus caldwellii
Bolboschoenus_planiculmis;Bolboschoenus planiculmis
Bolboschoenus_yagara;Bolboschoenus yagara
Bolboschoenus_fluviatilis_669;Bolboschoenus fluviatilis
Bolboschoenus_nobilis;Bolboschoenus nobilis
Pleurostachys_stricta;Pleurostachys stricta
Rhynchospora_aristata;Rhynchospora aristata
Rhynchospora_albiceps;Rhynchospora albiceps
Rhynchospora_rubra;Rhynchospora rubra
Rhynchospora_globosa;Rhynchospora globosa
Rhynchospora_capitellata_576;Rhynchospora capitellata
Rhynchospora_chinensis;Rhynchospora chinensis
Rhynchospora_capillacea_573;Rhynchospora capillacea
Rhynchospora_alba_570;Rhynchospora alba
Rhynchospora_gracillima;Rhynchospora gracillima
Rhynchospora_nervosa;Rhynchospora nervosa
Rhynchospora_scirpoides_582;Rhynchospora scirpoides
Rhynchospora_robusta;Rhynchospora robusta
Becquerelia_tuberosa_C03;Becquerelia tuberosa
Becquerelia_cymosa;Becquerelia cymosa
Diplacrum_caricinum;Diplacrum caricinum
Calyptrocarya_glomerulata;Calyptrocarya glomerulata
Scleria_distans;Scleria distans
Scleria_latifolia;Scleria latifolia
Scleria_terrestris;Scleria terrestris
Scleria_reticularis_651;Scleria reticularis
Scleria_foliosa;Scleria foliosa
Scleria_parvula;Scleria parvula
Cladium_mariscus;Cladium mariscus
Cladium_mariscoides_443;Cladium mariscoides
Cladium_jamaicense;Cladium jamaicense
Luzula_elegans;Luzula elegans
Luzula_meridionalis;Luzula meridionalis
Luzula_multiflora;Luzula multiflora
Luzula_traversii;Luzula traversii
Luzula_atlantica;Luzula atlantica
Luzula_sylvatica;Luzula sylvatica
Luzula_johnstonii;Luzula johnstonii
Luzula_gigantea;Luzula gigantea
Rostkovia_magellanica;Rostkovia magellanica
Patosia_clandestina;Patosia clandestina
Distichia_acicularis;Distichia acicularis
Juncus_maritimus;Juncus maritimus
Juncus_triglumis;Juncus triglumis
Juncus_subnodulosus;Juncus subnodulosus
Juncus_squarrosus;Juncus squarrosus
Juncus_dichotomus;Juncus dichotomus
Juncus_ambiguus;Juncus ambiguus
Juncus_capitatus;Juncus capitatus
Juncus_trifidus;Juncus trifidus
Spatholirion_longifolium;Spatholirion longifolium
Ravenala_madagascariensis;Ravenala madagascariensis
Attalea_sp;Attalea sp
