"resolved_name;gametophytic;sporophytic;parsed n"
"Carex acuta;;ca. 74;37"
"Carex acuta;0;104;52"
"Carex acuta;0;84;42"
"Carex acuta;0;84;42"
"Carex acuta;0;ca. 74;37"
"Carex acuta;38+1III+1IV;;38"
"Carex acuta;38+2III;;38"
"Carex acuta;40+1III;;40"
"Carex acuta;40+1IV;;40"
"Carex acuta;40+2I+1III;;40"
"Carex acuta;41+1III;;41"
"Carex acuta;41+2I;;41"
"Carex acuta;42+(0-2)B;;42"
"Carex acuta;42-44;;42,44"
"Carex acuta;4244;8486;"
"Carex acuta;42-44;84-86;"
"Carex acuta;42-44;84-86;42,44"
"Carex acutiformis;;38;"
"Carex acutiformis;;38;19"
"Carex acutiformis;;38;19"
"Carex acutiformis;;38;19"
"Carex acutiformis;;38;19"
"Carex acutiformis;;38;19"
"Carex acutiformis;;78;"
"Carex acutiformis;;78;"
"Carex acutiformis;;78;39"
"Carex acutiformis;;78;39"
"Carex acutiformis;;78;39"
"Carex acutiformis;;78;39"
"Carex acutiformis;;78;39"
"Carex acutiformis;;78;39"
"Carex acutiformis;;78;39"
"Carex acutiformis;;78;39"
"Carex acutiformis;;78;39"
"Carex acutiformis;;78;39"
"Carex acutiformis;;78;39"
"Carex acutiformis;;78;39"
"Carex acutiformis;;c.38;19"
"Carex acutiformis;;ca. 38;19"
"Carex acutiformis;;ca. 38;19"
"Carex adelostoma;;106;53"
"Carex adelostoma;;106;53"
"Carex adelostoma;;106;53"
"Carex adelostoma;;106;53"
"Carex adelostoma;;106;53"
"Carex adelostoma;;106;53"
"Carex adelostoma;;106;53"
"Carex adelostoma;;106;53"
"Carex adelostoma;;106;53"
"Carex adelostoma;;c.106;"
"Carex adelostoma;;c.106;53"
"Carex adusta;;64;"
"Carex adusta;;64;32"
"Carex adusta;;64;32"
"Carex adusta;;78;39"
"Carex adusta;;78;39"
"Carex adusta;39;;"
"Carex adusta;39;;39"
"Carex aenea;;64;"
"Carex aestivalis;;56;28"
"Carex aestivalis;;56;28"
"Carex aff.testacea;;56;"
"Carex aggregata;;52;26"
"Carex alata;;74;37"
"Carex alata;;74;37"
"Carex alata;37;;"
"Carex alata;37;;37"
"Carex alba;;54;"
"Carex alba;;54;"
"Carex alba;;54;"
"Carex alba;;54;27"
"Carex alba;;54;27"
"Carex alba;;54;27"
"Carex alba;;54;27"
"Carex alba;;54;27"
"Carex alba;;54;27"
"Carex alba;;54;27"
"Carex alba;;54;27"
"Carex alba;;54;27"
"Carex alba;;54;27"
"Carex alba;;54;27"
"Carex alba;;54;27"
"Carex albata;56;;"
"Carex albata;56;112;"
"Carex albicans var australis;;36;18"
"Carex albicans var emmonsii;;40;20"
"Carex albicans var emmonsii;20;;20"
"Carex albicans;;36;18"
"Carex albolutescens;;64;32"
"Carex albolutescens;;66;33"
"Carex albolutescens;;66;33"
"Carex albolutescens;33;;"
"Carex albolutescens;33;;33"
"Carex albonigra;;52,54;26, 27"
"Carex albula;;60;30"
"Carex albula;;c.60;"
"Carex albula;;c.60;30"
"Carex albursina;;44;22"
