NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	
N16	0.00122479	0.00134438	0.00159947	0.00202708	0.00268497	0.00365327	0.00503438	0.00694933	0.00952901	0.0128986	0.0171553	0.0223405	0.0284106	0.0352118	0.0424672	0.0497806	0.0566636	0.0625849	0.0670349	0.0695976	0.0700136	0.0682229	0.0643761	0.0588131	0.052012	0.0445196	0.0368782	0.029561	0.0229284	0.0172074	0.012495	0.00877879	0.0059679	0.00392568	0.00249887	0.00153938	0.000917847	0.000529759	0.000296035	0.000160196	8.39664e-05	4.26403e-05	2.09862e-05	1.00137e-05	4.63423e-06	2.08102e-06	9.07206e-07	3.84157e-07	1.58112e-07	6.33017e-08	2.46806e-08	9.39056e-09	3.50365e-09	1.29849e-09	4.95416e-10	2.13559e-10	1.25964e-10	
N17	0.000888874	0.000992562	0.00121571	0.00159398	0.00218341	0.00306252	0.00433315	0.00611826	0.00855479	0.0117797	0.0159087	0.0210078	0.0270615	0.0339433	0.0413954	0.0490271	0.0563366	0.0627581	0.0677313	0.0707801	0.0715871	0.0700475	0.0662892	0.0606551	0.0536495	0.0458622	0.037885	0.0302375	0.0233156	0.0173674	0.0124964	0.0086852	0.00583058	0.00378077	0.00236807	0.00143275	0.000837404	0.000472851	0.000257981	0.000136016	6.9313e-05	3.4148e-05	1.62697e-05	7.49951e-06	3.34618e-06	1.44618e-06	6.05948e-07	2.4643e-07	9.74242e-08	3.75206e-08	1.41192e-08	5.2159e-09	1.90755e-09	7.02798e-10	2.71544e-10	1.20636e-10	7.33159e-11	
N18	0.000545001	0.000613437	0.000763068	0.0010229	0.00144044	0.00208568	0.00305484	0.00447192	0.00648581	0.00926035	0.0129552	0.0176964	0.0235395	0.0304292	0.0381651	0.046384	0.0545698	0.0620944	0.0682919	0.0725525	0.0744209	0.0736752	0.0703695	0.0648276	0.0575895	0.0493227	0.0407189	0.032399	0.0248429	0.0183556	0.0130677	0.00896336	0.00592337	0.00377125	0.00231323	0.00136703	0.00077835	0.000427009	0.000225734	0.000115002	5.64702e-05	2.67318e-05	1.22023e-05	5.37291e-06	2.28314e-06	9.36891e-07	3.71592e-07	1.42632e-07	5.30835e-08	1.92099e-08	6.78989e-09	2.3617e-09	8.19187e-10	2.90605e-10	1.10865e-10	5.0123e-11	3.13615e-11	
N19	0.000456605	0.000510419	0.000628914	0.000837085	0.00117661	0.00171029	0.00252655	0.00374247	0.00550295	0.00797346	0.0113237	0.0157011	0.0211942	0.0277919	0.0353449	0.0435404	0.0519021	0.0598216	0.0666245	0.0716608	0.0744066	0.0745529	0.0720622	0.0671782	0.0603855	0.0523287	0.0437104	0.0351893	0.0273007	0.0204097	0.0147019	0.0102038	0.00682318	0.00439589	0.00272861	0.00163185	0.000940326	0.000522117	0.000279374	0.000144074	7.16211e-05	3.4328e-05	1.58684e-05	7.07731e-06	3.04703e-06	1.26724e-06	5.09589e-07	1.98384e-07	7.48975e-08	2.74884e-08	9.84208e-09	3.4569e-09	1.20274e-09	4.22644e-10	1.56569e-10	6.72794e-11	4.01004e-11	
N20	7.61636e-06	9.2562e-06	1.31295e-05	2.06247e-05	3.42986e-05	5.85281e-05	0.000100502	0.00017163	0.000289425	0.000479838	0.000779906	0.00124038	0.00192778	0.00292502	0.00432971	0.00624897	0.00879005	0.0120465	0.0160806	0.0209036	0.0264572	0.0325993	0.0390989	0.0456429	0.0518563	0.0573354	0.0616902	0.0645897	0.065804	0.0652337	0.0629241	0.0590587	0.0539352	0.0479277	0.0414412	0.0348677	0.0285481	0.0227467	0.0176392	0.013314	0.00978293	0.00699913	0.00487698	0.00331093	0.0021911	0.0014145	0.000891701	0.000549748	0.000332203	0.000197427	0.000115996	6.79345e-05	4.01823e-05	2.45031e-05	1.58898e-05	1.14283e-05	9.54597e-06	
N21	1.26742e-15	7.7464e-15	6.98333e-14	6.3015e-13	5.39738e-12	4.33072e-11	3.22903e-10	2.22308e-09	1.40601e-08	8.13529e-08	4.29173e-07	2.05841e-06	8.95408e-06	3.5252e-05	0.000125378	0.000402196	0.00116206	0.00302048	0.00705599	0.0148027	0.0278725	0.0470881	0.0713634	0.097025	0.118366	0.129621	0.127485	0.112686	0.0895879	0.0641194	0.0413542	0.0240602	0.0126422	0.00600621	0.00258327	0.00100713	0.000356379	0.000114614	3.35477e-05	8.94945e-06	2.17907e-06	4.84998e-07	9.88266e-08	1.84663e-08	3.16962e-09	5.00678e-10	7.29311e-11	9.81873e-12	1.22492e-12	1.42033e-13	1.53627e-14	1.55707e-15	1.48785e-16	1.35374e-17	1.19781e-18	1.08985e-19	1.30314e-20	
Schoenoplectus_pungens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N22	7.47695e-17	6.70377e-16	1.02384e-14	1.56192e-13	2.16833e-12	2.68856e-11	2.95939e-10	2.88132e-09	2.47378e-08	1.86758e-07	1.23642e-06	7.15977e-06	3.6176e-05	0.000159126	0.000608069	0.00201487	0.00577986	0.0143343	0.0307023	0.0567508	0.0904898	0.124455	0.147673	0.151252	0.133833	0.102414	0.067867	0.0390053	0.0194756	0.00846375	0.00320767	0.00106234	0.00030811	7.84259e-05	1.75582e-05	3.46524e-06	6.04206e-07	9.32828e-08	1.27804e-08	1.55731e-09	1.69137e-10	1.64091e-11	1.42513e-12	1.1104e-13	7.77864e-15	4.90984e-16	2.79851e-17	1.44363e-18	6.75564e-20	2.87493e-21	1.11563e-22	3.96055e-24	1.29228e-25	3.90913e-27	1.1198e-28	3.25474e-30	1.46113e-31	
Schoenoplectus_acutus_var_acutus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N23	7.11394e-17	7.7791e-16	1.44241e-14	2.58957e-13	4.14296e-12	5.82561e-11	7.16459e-10	7.67759e-09	7.14268e-08	5.7481e-07	3.98704e-06	2.37519e-05	0.000121109	0.00052681	0.00194893	0.00611486	0.0162313	0.0363748	0.0687105	0.109278	0.146241	0.164666	0.156076	0.124649	0.0840008	0.0478542	0.0230971	0.00946861	0.00330596	0.000985971	0.000251954	5.534e-05	1.04814e-05	1.71736e-06	2.4422e-07	3.02394e-08	3.27054e-09	3.09941e-10	2.5816e-11	1.89563e-12	1.23069e-13	7.08467e-15	3.62642e-16	1.65502e-17	6.7521e-19	2.46889e-20	8.11094e-22	2.39994e-23	6.41072e-25	1.54947e-26	3.3962e-28	6.76504e-30	1.22724e-31	2.03186e-33	3.08147e-35	4.42186e-37	1.00566e-38	
