NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	
N16	3.50641e-08	1.08681e-08	1.42558e-08	1.9879e-08	2.8844e-08	4.36149e-08	7.09952e-08	1.30229e-07	2.69344e-07	5.85924e-07	1.221e-06	2.29534e-06	3.76529e-06	5.33435e-06	7.02716e-06	8.04418e-06	8.32473e-06	8.17909e-06	8.10456e-06	8.59918e-06	9.41363e-06	1.16391e-05	1.49938e-05	1.94574e-05	2.60022e-05	3.71028e-05	5.7225e-05	9.50833e-05	0.000171114	0.000311734	0.000617123	0.00119418	0.00210472	0.00328739	0.00455361	0.00572538	0.00684618	0.00825849	0.00980382	0.0125253	0.015964	0.0198324	0.0249458	0.0332213	0.046162	0.0626633	0.0782474	0.0870035	0.0858451	0.0785614	0.0715346	0.0689044	0.0693266	0.0675572	0.0593634	0.0453125	0.029823	
N17	1.7426e-08	5.1473e-09	7.52241e-09	1.16737e-08	1.9597e-08	3.68346e-08	7.69465e-08	1.66642e-07	3.44109e-07	6.39986e-07	1.04094e-06	1.48211e-06	1.8535e-06	2.0626e-06	2.10717e-06	2.0442e-06	2.00739e-06	2.15769e-06	2.6311e-06	3.52703e-06	4.95879e-06	7.29145e-06	1.10593e-05	1.69848e-05	2.61218e-05	4.1083e-05	6.92045e-05	0.000126401	0.000236505	0.000417407	0.00067204	0.000961595	0.00122775	0.00144467	0.00166864	0.0020387	0.00271409	0.00379904	0.00536442	0.00769325	0.0115749	0.0186712	0.0311608	0.0500364	0.0728029	0.0932514	0.105251	0.108836	0.105901	0.100344	0.0910398	0.0752536	0.0537222	0.0316701	0.0148586	0.00543829	0.00162428	
N18	7.61691e-09	2.2981e-09	3.398e-09	5.47859e-09	9.7255e-09	1.8523e-08	3.5712e-08	6.56934e-08	1.10759e-07	1.67795e-07	2.26681e-07	2.77093e-07	3.09639e-07	3.24019e-07	3.30951e-07	3.51271e-07	4.1132e-07	5.49041e-07	8.23524e-07	1.32965e-06	2.21268e-06	3.64354e-06	5.7944e-06	8.94435e-06	1.38463e-05	2.23082e-05	3.75176e-05	6.33455e-05	0.000102429	0.000155149	0.000218788	0.000290999	0.000377497	0.00050291	0.00072186	0.00112847	0.00187098	0.00320668	0.00575579	0.010726	0.0203319	0.0371471	0.0618679	0.0906753	0.115796	0.130305	0.13198	0.123376	0.103329	0.0756235	0.0466962	0.023659	0.00967216	0.00318755	0.000870775	0.000211936	5.01493e-05	
N19	7.28529e-09	2.23009e-09	3.26805e-09	5.21283e-09	9.01232e-09	1.62262e-08	2.87871e-08	4.81001e-08	7.36946e-08	1.0242e-07	1.28901e-07	1.49498e-07	1.62879e-07	1.72583e-07	1.87287e-07	2.20026e-07	2.88244e-07	4.20899e-07	6.65563e-07	1.09288e-06	1.79307e-06	2.88007e-06	4.53179e-06	7.12617e-06	1.14914e-05	1.91123e-05	3.20057e-05	5.20753e-05	8.02391e-05	0.000116298	0.000159898	0.000214405	0.000292069	0.000421686	0.000657678	0.00109685	0.00192403	0.00353453	0.00686679	0.0136401	0.0265066	0.047695	0.0762574	0.106219	0.128952	0.138377	0.133236	0.116303	0.0884987	0.0573978	0.0308974	0.0135701	0.00485111	0.00145026	0.000406015	0.00014983	9.16552e-05	
N20	2.06425e-07	8.74166e-08	1.33176e-07	2.06988e-07	3.26075e-07	5.12282e-07	7.84825e-07	1.15865e-06	1.67413e-06	2.49367e-06	4.10948e-06	7.7766e-06	1.641e-05	3.56412e-05	7.91702e-05	0.00015323	0.000260664	0.000398949	0.000571345	0.000803592	0.00111011	0.00157996	0.00229341	0.00335162	0.0049948	0.0079827	0.0141284	0.0260852	0.0455455	0.0687947	0.0925048	0.112981	0.126366	0.128357	0.116386	0.0929419	0.065203	0.0406176	0.022183	0.0114708	0.0059015	0.00310451	0.00167553	0.000916594	0.000504264	0.000282412	0.00016504	9.97772e-05	6.14929e-05	3.64168e-05	1.97929e-05	9.6668e-06	4.21773e-06	1.64574e-06	5.76224e-07	1.81697e-07	5.17769e-08	
N21	4.98474e-10	6.8859e-11	9.50083e-07	1.79485e-05	6.65139e-05	9.20778e-05	6.28707e-05	2.47446e-05	6.20251e-06	1.0652e-06	1.37837e-07	2.42976e-05	0.000272276	0.000803756	0.000907322	0.000510456	0.000165165	3.38688e-05	6.8644e-06	5.05022e-06	0.0158172	0.14281	0.339334	0.311678	0.142446	0.037703	0.00638463	0.0007433	6.2979e-05	1.28294e-05	4.71397e-06	1.07236e-06	1.57391e-07	1.65463e-08	1.3261e-09	8.38412e-11	4.263e-12	1.76415e-13	5.81897e-13	1.61192e-13	2.05993e-14	1.60217e-15	8.51129e-17	3.29059e-18	9.64365e-20	2.20636e-21	4.03649e-23	6.05544e-25	7.55699e-27	8.13102e-29	7.78436e-31	6.81292e-33	5.52534e-35	4.14533e-37	2.85082e-39	1.78395e-41	1.01398e-43	
Schoenoplectus_pungens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N22	2.62092e-10	3.76909e-10	3.482e-07	1.74935e-06	2.4161e-06	1.31972e-06	3.44558e-07	4.88572e-08	4.23869e-09	4.7855e-09	5.42794e-09	3.03607e-06	1.55674e-05	2.02836e-05	9.87046e-06	2.24009e-06	2.69916e-07	1.92848e-08	3.76522e-06	1.38052e-05	0.0774183	0.345293	0.384793	0.158952	0.0302297	0.00304819	0.000182035	7.71821e-06	4.00542e-07	3.23928e-08	2.0935e-09	8.73647e-11	2.44178e-12	4.89223e-14	8.14198e-16	1.91813e-17	8.70111e-19	3.87583e-20	1.19387e-21	2.33295e-23	2.96674e-25	2.56524e-27	1.56909e-29	7.01091e-32	2.34881e-34	6.03674e-37	1.22337e-39	2.10019e-42	3.7913e-45	9.92756e-48	3.1484e-50	8.73457e-53	1.92676e-55	3.7531e-58	1.25104e-60	9.66618e-63	6.90499e-65	
Schoenoplectus_acutus_var_acutus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N23	2.67988e-10	1.95307e-10	6.21492e-08	1.29948e-07	7.77311e-08	1.82898e-08	2.09599e-09	2.13191e-10	4.94776e-11	2.38579e-09	3.73748e-09	4.06541e-07	9.31463e-07	5.56834e-07	1.34251e-07	3.17697e-08	1.53855e-08	6.17032e-09	2.19223e-05	3.09685e-05	0.228572	0.473792	0.247217	0.0464113	0.00379373	0.000154574	3.67973e-06	9.46395e-08	6.3629e-09	4.90978e-10	2.44848e-11	7.06636e-13	1.18324e-14	1.22346e-16	1.15062e-18	3.40286e-20	1.62e-21	5.6298e-23	1.37006e-24	2.12892e-26	2.0155e-28	1.17496e-30	4.47792e-33	1.63544e-35	1.9688e-37	3.98086e-39	6.11114e-41	6.80228e-43	4.99368e-45	2.30076e-47	6.70867e-50	1.31591e-52	2.70407e-55	2.20066e-57	3.1192e-59	3.71188e-61	3.30887e-63	
Schoenoplectus_lacustris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Schoenoplectus_heterochaetus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Actinoscirpus_grossus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N24	8.79374e-09	2.72464e-09	3.75831e-09	5.2726e-09	7.31362e-09	9.76334e-09	1.23483e-08	1.48116e-08	1.71836e-08	1.99981e-08	2.4345e-08	3.24966e-08	4.80968e-08	7.74187e-08	1.28686e-07	2.14482e-07	3.46094e-07	5.34612e-07	7.97137e-07	1.1726e-06	1.76375e-06	2.70718e-06	4.22419e-06	6.55465e-06	9.89013e-06	1.43764e-05	2.03761e-05	2.91788e-05	4.44205e-05	7.60986e-05	0.000145854	0.000305983	0.000675907	0.00152547	0.00345545	0.00773619	0.0167144	0.0336933	0.0621061	0.0995709	0.137032	0.160238	0.158374	0.13181	0.0919462	0.0534416	0.0257522	0.0103772	0.00348142	0.00101816	0.000279002	7.75604e-05	2.2194e-05	6.12912e-06	1.51811e-06	3.24626e-07	5.97647e-08	
N25	9.98666e-09	2.78043e-09	3.52059e-09	4.48659e-09	5.77862e-09	7.57028e-09	1.01737e-08	1.4119e-08	2.02585e-08	2.99934e-08	4.57302e-08	7.20156e-08	1.15945e-07	1.87246e-07	2.93789e-07	4.48422e-07	6.61255e-07	9.48373e-07	1.34136e-06	1.90428e-06	2.78904e-06	4.17522e-06	6.38834e-06	9.99184e-06	1.63339e-05	2.9285e-05	6.00854e-05	0.000139324	0.000343307	0.000860831	0.00208884	0.00485691	0.0107078	0.022028	0.0414565	0.0701161	0.105116	0.137985	0.158427	0.153939	0.125518	0.0849606	0.0474371	0.0218278	0.00833281	0.00268945	0.000761891	0.000201962	5.21815e-05	1.36873e-05	3.67781e-06	1.02995e-06	3.02797e-07	8.90607e-08	2.4068e-08	5.57495e-09	1.0745e-09	
N26	1.23542e-08	3.38937e-09	4.57046e-09	6.43975e-09	9.3278e-09	1.35942e-08	1.95912e-08	2.78482e-08	3.98679e-08	5.96342e-08	9.50308e-08	1.58352e-07	2.63416e-07	4.20647e-07	6.25252e-07	8.74082e-07	1.16175e-06	1.52547e-06	2.08912e-06	3.0961e-06	4.98553e-06	8.34106e-06	1.44045e-05	2.6645e-05	5.69067e-05	0.00014473	0.000407395	0.00114535	0.00301613	0.00731335	0.0158441	0.0305162	0.0520945	0.0791768	0.108179	0.133538	0.147496	0.142395	0.118271	0.081295	0.0459653	0.0213154	0.00815424	0.00261971	0.000733505	0.00019035	4.90718e-05	1.30836e-05	3.49344e-06	9.24101e-07	2.45996e-07	6.91263e-08	2.13887e-08	7.24016e-09	2.50112e-09	7.92107e-10	2.07961e-10	
Scirpus_ficinioides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
